area_name.x,area_code,diabetes_qof_prevalence_17_yrs_17_yrs_persons,percentage_of_people_with_type_2_diabetes_aged_under_40_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_40_to_64_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_65_to_79_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_80_and_over_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_male_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_female_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_white_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_minority_ethnic_origin_all_ages_persons,people_with_type_2_diabetes_who_received_a_blood_glucose_test_all_ages_persons,people_with_type_2_diabetes_who_received_all_8_care_processes_all_ages_persons,people_with_type_2_diabetes_who_achieved_all_three_treatment_targets_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_48_mmol_mol_or_less_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_58_mmol_mol_or_less_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_86_mmol_mol_or_less_all_ages_persons,percentage_of_people_with_type_2_diabetes_who_were_offered_the_diabetes_structured_education_programme_within_12_months_of_diagnosis_all_ages_persons,percentage_of_people_with_type_2_diabetes_who_attended_the_diabetes_structured_education_programme_within_12_months_of_diagnosis_all_ages_persons,area_name.y,value
Humber and North Yorkshire ICB - 03H ,nE38000119,7.77013001201792,4.11027568922306,41.0526315789474,38.6466165413534,16.1904761904762,56.390977443609,43.6591478696742,86.516290726817,9.27318295739348,88.2706766917293,24.812030075188,39.8793565683646,32.0432555492316,63.4604439385316,92.145702902675,55.43478261,3.260869565,Humber and North Yorkshire ICB - 03H ,30.898
Humber and North Yorkshire ICB - 03K ,nE38000122,8.07263828099262,3.38078291814947,40.0355871886121,41.0142348754448,15.5693950177936,57.0729537366548,42.9715302491103,82.1174377224199,10.9875444839858,85.1423487544484,33.3185053380783,38.6064030131827,32.303664921466,64.6073298429319,94.0314136125654,61.11111111,0.925925926,Humber and North Yorkshire ICB - 03K ,21.363
Staffordshire and Stoke-on-Trent ICB - 05G ,nE38000126,7.84767387153018,2.63862332695985,37.2848948374761,41.8738049713193,18.2409177820268,57.3231357552581,42.7151051625239,88.7954110898662,2.94455066921606,82.1414913957935,24.5506692160612,38.8373531230674,33.8228327806727,64.2349597347229,92.4206537186168,58.16326531,4.081632653,Staffordshire and Stoke-on-Trent ICB - 05G ,17.322
North East and North Cumbria ICB - 99C ,nE38000127,7.82528422359839,3.50944851523332,40.7635942923255,39.9151561897416,15.8118010026996,54.7628229849595,45.2371770150405,90.6671808715773,4.473582722715,91.2070960277671,53.1430775163903,34.2446043165468,29.8178737822956,62.0923337568827,90.851334180432,51.94805195,9.090909091,North East and North Cumbria ICB - 99C ,21.279
North East and North Cumbria ICB - 00L,nE38000130,8.31533751683138,2.64677574590953,37.6804619826757,43.4552454282964,16.2175168431184,55.7747834456208,44.2492781520693,94.8989412897016,1.66025024061598,88.5707410972089,43.3830606352262,33.168775069423,30.5683981506663,62.1430514005983,90.9437041066086,73.77777778,4,North East and North Cumbria ICB - 00L,20.525
Greater Manchester ICB - 00Y ,nE38000135,8.49263052710467,6.11353711790393,49.8152502519315,32.8182734296271,11.2529392005375,54.3500167954316,45.6499832045684,59.9261001007726,36.042996305005,85.6231105139402,30.3661404098085,34.3955014058107,30.2005505308691,61.3841918993315,90.916240660637,58.91472868,1.550387597,Greater Manchester ICB - 00Y ,30.291
"Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q ",nE38000136,5.16131557114009,3.79768106200639,41.505629305999,37.909595026046,16.7870946059486,57.6541757687784,42.3458242312216,77.2475214249706,13.2750798185179,88.7413880020165,57.7549991598051,33.6464560204953,29.3025018953753,59.8180439727066,91.3949962092494,67.15976331,14.79289941,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q ",11.613
Hampshire and Isle Of Wight ICB - 10R ,nE38000137,6.84229862046567,4.77773161611965,46.1154964686332,35.4383049439136,13.6269214790195,54.7985043622767,45.2014956377233,72.5799750727046,12.5051931865393,81.0137100124636,40.0083090984628,34.4890510948905,27.6606683804627,62.2107969151671,89.6658097686375,46,4,Hampshire and Isle Of Wight ICB - 10R ,27.054
South Yorkshire ICB - 03L ,nE38000141,7.93605212241612,4.27485750474984,43.9835338822039,38.5053831538949,13.2362254591514,55.4464851171628,44.5218492716909,85.0538315389487,8.48638378720709,91.418619379354,39.1070297656745,33.7988826815642,29.7813259284971,61.1246095105866,91.66955918084,69.30232558,9.76744186,South Yorkshire ICB - 03L ,28.279
Greater Manchester ICB - 01G ,nE38000143,6.57780517022865,4.85216072782411,46.8915845337377,35.5951478392722,12.6990144048522,56.5959059893859,43.4420015163002,80.7808946171342,10.4245640636846,88.55193328279,30.5534495830174,40.0385914134105,36.3870967741936,67.6989247311828,92.6021505376344,54.73684211,14.21052632,Greater Manchester ICB - 01G ,32.959
